AirportName,DateValue,OnTimePerCent,TotalArrivals
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",6/1/15,75.66334441,22575
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",7/1/15,83.24529373,22895
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",8/1/15,83.86325515,22297
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",9/1/15,90.19073128,20348
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",10/1/15,85.05681548,21033
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11/1/15,82.72522131,19543
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12/1/15,80.6867231,20675
"Chicago, IL: Chicago O'Hare International",1/1/12,80.48481304,24791
"Chicago, IL: Chicago O'Hare International",2/1/12,83.86711398,23697
"Chicago, IL: Chicago O'Hare International",3/1/12,79.45194785,25618
"Chicago, IL: Chicago O'Hare International",4/1/12,86.74928322,25810
"Chicago, IL: Chicago O'Hare International",5/1/12,79.8175802,26746
"Chicago, IL: Chicago O'Hare International",6/1/12,81.28570377,27161
"Chicago, IL: Chicago O'Hare International",7/1/12,71.81914163,27657
"Chicago, IL: Chicago O'Hare International",8/1/12,77.55639365,28106
"Chicago, IL: Chicago O'Hare International",9/1/12,80.43195174,25695
"Chicago, IL: Chicago O'Hare International",10/1/12,75.10095922,27001
"Chicago, IL: Chicago O'Hare International",11/1/12,84.69138911,24620
"Chicago, IL: Chicago O'Hare International",12/1/12,75.43477528,23741
"Chicago, IL: Chicago O'Hare International",1/1/13,74.93914901,23878
"Chicago, IL: Chicago O'Hare International",2/1/13,66.57207268,22179
"Chicago, IL: Chicago O'Hare International",3/1/13,76.43983533,25505
"Chicago, IL: Chicago O'Hare International",4/1/13,66.0714889,26046
"Chicago, IL: Chicago O'Hare International",5/1/13,72.59752803,27023
"Chicago, IL: Chicago O'Hare International",6/1/13,63.86668622,27274
"Chicago, IL: Chicago O'Hare International",7/1/13,73.66113693,27970
"Chicago, IL: Chicago O'Hare International",8/1/13,77.66114599,27714
"Chicago, IL: Chicago O'Hare International",9/1/13,83.92722958,25285
"Chicago, IL: Chicago O'Hare International",10/1/13,81.75884547,26539
"Chicago, IL: Chicago O'Hare International",11/1/13,81.18408022,24033
"Chicago, IL: Chicago O'Hare International",12/1/13,62.36255739,23086
"Chicago, IL: Chicago O'Hare International",1/1/14,52.53843653,21529
"Chicago, IL: Chicago O'Hare International",2/1/14,65.18281849,19812
"Chicago, IL: Chicago O'Hare International",3/1/14,73.09567228,22922
"Chicago, IL: Chicago O'Hare International",4/1/14,73.85288801,23234
"Chicago, IL: Chicago O'Hare International",5/1/14,65.25127872,24634
"Chicago, IL: Chicago O'Hare International",6/1/14,57.94090067,25381
"Chicago, IL: Chicago O'Hare International",7/1/14,74.16642843,25885
"Chicago, IL: Chicago O'Hare International",8/1/14,63.93047401,25717
"Chicago, IL: Chicago O'Hare International",9/1/14,69.55627384,24905
"Chicago, IL: Chicago O'Hare International",10/1/14,61.34929685,26310
"Chicago, IL: Chicago O'Hare International",11/1/14,76.45976914,23564
"Chicago, IL: Chicago O'Hare International",12/1/14,78.04462613,23484
"Chicago, IL: Chicago O'Hare International",1/1/15,66.87646183,23515
"Chicago, IL: Chicago O'Hare International",2/1/15,61.54776749,21814
"Chicago, IL: Chicago O'Hare International",3/1/15,76.4145165,26122
"Chicago, IL: Chicago O'Hare International",4/1/15,80.58812149,25845
"Chicago, IL: Chicago O'Hare International",5/1/15,80.77970196,26909
"Chicago, IL: Chicago O'Hare International",6/1/15,66.15799203,27590
"Chicago, IL: Chicago O'Hare International",7/1/15,76.10619877,28183
"Chicago, IL: Chicago O'Hare International",8/1/15,79.04244881,28128
"Chicago, IL: Chicago O'Hare International",9/1/15,83.70212847,26169
"Chicago, IL: Chicago O'Hare International",10/1/15,87.90922921,27608
"Chicago, IL: Chicago O'Hare International",11/1/15,80.99980816,26063
"Chicago, IL: Chicago O'Hare International",12/1/15,79.58772685,25568
"Charlotte, NC: Charlotte Douglas International",1/1/12,87.07947559,11060
"Charlotte, NC: Charlotte Douglas International",2/1/12,89.65895466,10676
"Charlotte, NC: Charlotte Douglas International",3/1/12,86.38336286,11853
"Charlotte, NC: Charlotte Douglas International",4/1/12,90.13172043,11532
"Charlotte, NC: Charlotte Douglas International",5/1/12,85.23120814,12093
"Charlotte, NC: Charlotte Douglas International",6/1/12,87.02102337,11511
"Charlotte, NC: Charlotte Douglas International",7/1/12,79.75694136,11273
